#{"t_start": 1698676261.2022698, "env_id": "CliffWalking-v0"}
r,l,t
-58675.0,6997,2.067291
-626.0,329,2.284765
-7804.0,3349,4.599508
-3004.0,1024,5.336056
-4411.0,3025,7.592184
-645.0,249,7.785741
-507.0,408,8.072418
-941.0,446,8.39498
-602.0,404,8.741719
-6225.0,4839,12.717763
-650.0,551,13.120065
-105.0,105,13.204876
-33.0,33,13.237796
-260.0,161,13.366741
-73.0,73,13.421676
-124.0,124,13.511357
-65.0,65,13.561599
-125.0,125,13.651345
-48.0,48,13.686526
-169.0,70,13.739371
-334.0,136,13.847337
-44.0,44,13.877347
-219.0,120,13.969337
-146.0,146,14.073528
-122.0,23,14.100556
-140.0,41,14.136807
-230.0,32,14.15943
-38.0,38,14.184401
-50.0,50,14.229744
-70.0,70,14.280459
-81.0,81,14.343318
-24.0,24,14.363362
-19.0,19,14.384491
-91.0,91,14.486615
-151.0,52,14.524573
-20.0,20,14.53987
-15.0,15,14.55671
-34.0,34,14.587628
-35.0,35,14.614344
-28.0,28,14.63692
-122.0,23,14.663538
-19.0,19,14.680798
-143.0,44,14.720832
-21.0,21,14.739174
-20.0,20,14.762951
-180.0,81,14.837977
-156.0,57,14.884315
-15.0,15,14.89317
-25.0,25,14.92426
-19.0,19,14.942308
-337.0,40,14.973516
-20.0,20,14.992287
-17.0,17,15.013847
-23.0,23,15.03477
-115.0,16,15.050385
-29.0,29,15.075639
-254.0,56,15.136115
-37.0,37,15.17352
-19.0,19,15.191113
-23.0,23,15.209121
-16.0,16,15.230235
-20.0,20,15.249549
-241.0,43,15.287627
-25.0,25,15.306383
-25.0,25,15.337888
-13.0,13,15.349413
-543.0,48,15.39234
-16.0,16,15.405992
-126.0,27,15.433626
-19.0,19,15.449651
-552.0,57,15.500523
-13.0,13,15.511211
-15.0,15,15.528242
-13.0,13,15.537584
-124.0,25,15.561488
-337.0,40,15.594443
-21.0,21,15.61835
-17.0,17,15.63623
-15.0,15,15.647325
-17.0,17,15.663405
-118.0,19,15.684517
-121.0,22,15.702734
-123.0,24,15.717508
-17.0,17,15.730407
-125.0,26,15.76117
-15.0,15,15.772946
-15.0,15,15.786109
-19.0,19,15.802747
-126.0,27,15.831691
-15.0,15,15.84538
-129.0,30,15.876552
-15.0,15,15.889569
-328.0,31,15.924028
-17.0,17,15.942286
-20.0,20,15.958364
-225.0,27,15.983312
-19.0,19,16.002866
-13.0,13,16.01238
-13.0,13,16.02736
-18.0,18,16.042491
-120.0,21,16.064624
-15.0,15,16.078303
-546.0,51,16.122475
-122.0,23,16.139433
-115.0,16,16.159326
-122.0,23,16.176888
-230.0,32,16.208016
-117.0,18,16.227102
-118.0,19,16.24949
-119.0,20,16.270047
-13.0,13,16.280289
-15.0,15,16.293569
-15.0,15,16.311571
-24.0,24,16.335272
-21.0,21,16.356533
-120.0,21,16.372793
-17.0,17,16.390376
-17.0,17,16.403287
-234.0,36,16.432686
-13.0,13,16.445275
-15.0,15,16.46266
-17.0,17,16.481394
-13.0,13,16.492398
-124.0,25,16.513777
-19.0,19,16.534295
-226.0,28,16.559327
-118.0,19,16.576477
-15.0,15,16.586359
-15.0,15,16.60591
-130.0,31,16.629405
-17.0,17,16.641581
-13.0,13,16.651613
-13.0,13,16.670592
-14.0,14,16.682719
-333.0,36,16.718455
-13.0,13,16.7294
-125.0,26,16.753773
-119.0,20,16.773477
-14.0,14,16.786384
-17.0,17,16.801507
-17.0,17,16.818672
-13.0,13,16.829128
-13.0,13,16.839176
-23.0,23,16.858042
-17.0,17,16.878107
-15.0,15,16.893684
-13.0,13,16.905128
-16.0,16,16.92133
-118.0,19,16.943643
-13.0,13,16.955579
-118.0,19,16.972118
-233.0,35,17.00133
-129.0,30,17.033
-13.0,13,17.047768
-19.0,19,17.061185
-115.0,16,17.074644
-15.0,15,17.094141
-17.0,17,17.10522
-115.0,16,17.116834
-15.0,15,17.127948
-21.0,21,17.149188
-19.0,19,17.167759
-13.0,13,17.178734
-17.0,17,17.194091
-15.0,15,17.208003
-120.0,21,17.225041
-344.0,47,17.259294
