#{"t_start": 1698683506.2044702, "env_id": "CarRacing-v2"}
r,l,t
-54.063604,1000,17.221463
-71.326165,1000,28.095958
-46.488294,1000,39.50198
-22.764228,1000,50.930633
-45.652174,1000,62.361622
-39.285714,1000,73.518231
131.270358,1000,85.287315
103.076923,1000,97.246038
245.762712,1000,108.925788
67.286245,1000,120.457167
135.099338,1000,132.102041
133.974359,1000,143.92956
156.849315,1000,155.593297
153.521127,1000,167.062078
139.130435,1000,178.516294
10.512129,1000,190.759453
4.477612,1000,202.334402
105.035971,1000,213.990671
157.961783,1000,225.763024
289.078498,1000,237.415809
188.732394,1000,249.038297
334.42623,1000,260.005975
79.21147,1000,271.4966
-46.308725,1000,282.942666
4.918033,1000,294.63196
101.388889,1000,306.568069
-48.453608,1000,318.315843
69.381107,1000,330.095255
173.049645,1000,341.755338
-15.254237,1000,353.319424
262.676056,1000,364.927895
-47.540984,1000,376.248098
12.244898,1000,387.88071
211.643836,1000,399.8981
147.619048,1000,412.045166
138.562092,1000,423.818447
32.075472,1000,435.025841
10.320285,1000,446.428385
35.646688,1000,457.963875
66.666667,1000,469.299477
57.894737,1000,481.282544
-22.558923,1000,492.992602
-71.317284,208,495.304586
-61.904762,1000,506.650402
-84.615385,1000,518.517226
-40.520446,1000,529.968271
-82.578397,1000,541.573721
-54.887218,1000,552.997934
-81.060606,1000,564.301969
-82.638889,1000,575.93679
-54.918033,1000,587.33336
-82.45614,1000,599.024256
-83.108108,1000,610.410741
-82.935154,1000,622.141604
-83.277592,1000,633.73792
-62.585034,1000,645.049099
-71.631206,1000,656.340694
26.712329,1000,667.861566
33.828996,1000,679.311115
44.230769,1000,691.190177
65.517241,1000,702.73493
60.535117,1000,714.083815
-75.470213,394,718.635485
-9.338926,336,722.280233
-34.362934,1000,733.389522
-12.891986,1000,744.916131
117.054264,1000,756.181572
66.023166,1000,767.445563
28.571429,1000,778.840636
77.165354,1000,790.252483
31.944444,1000,802.026883
43.34471,1000,813.622473
182.828283,1000,825.376827
131.292517,1000,837.36582
172.727273,1000,848.969677
32.53012,1000,860.304155
100.657895,1000,872.103215
138.255034,1000,883.843874
116.949153,1000,895.476817
22.302158,1000,906.933754
120.735786,1000,918.705034
132.081911,1000,930.632843
125.925926,1000,942.26915
62.264151,1000,953.77087
-142.377778,772,962.274425
130.215827,1000,974.024816
-124.51634,671,981.390436
126.480836,1000,993.001289
27.147766,1000,1004.680881
216.546763,1000,1016.136223
108.754209,1000,1028.047816
102.797203,1000,1039.757317
111.111111,1000,1051.501127
-110.811327,724,1059.55184
61.812298,1000,1071.387878
152.595156,1000,1082.976146
44.736842,1000,1094.809616
107.920792,1000,1106.495263
37.037037,1000,1118.111854
220.557491,1000,1129.666153
